Fri 25 Jul , Kickers Emden , 0 - 1 , Meppen
Fri 26 Sep , Drochtersen.A. , 2 - 1 , VfB Lubeck
Sat 27 Sep , Hannover 96 B , 4 - 1 , Bremer SV
Sat 27 Sep , Norderstedt , 1 - 2 , Altona
Sat 27 Sep , Phonix Lubeck , 1 - 2 , Meppen
Sat 27 Sep , Schoningen , 2 - 1 , Oldenburg
Sat 27 Sep , Weiche F. , 0 - 4 , Hamburger SV B
Sat 27 Sep , HSC Hannover , 0 - 2 , Jeddeloh
Tue 30 Sep , Werder Bremen B , 4 - 0 , St. Pauli B
Wed 1 Oct , Bremer SV , 2 - 2 , VfB Lubeck
Wed 1 Oct , Oldenburg , 3 - 4 , Weiche F.
Wed 1 Oct , Hamburger SV B , 2 - 2 , Drochtersen.A.
Wed 1 Oct , Jeddeloh , 2 - 1 , Norderstedt
Wed 1 Oct , St. Pauli B , 1 - 1 , BW Lohne
Wed 1 Oct , Meppen , 6 - 0 , Kickers Emden
Thu 2 Oct , Altona , 0 - 4 , HSC Hannover
Sat 4 Oct , Weiche F. , 5 - 3 , Schoningen
Sat 4 Oct , Kickers Emden , 3 - 4 , Meppen
Sun 5 Oct , BW Lohne , 1 - 1 , Hamburger SV B
Sun 5 Oct , Phonix Lubeck , 2 - 0 , Altona
Sun 5 Oct , Schoningen , 2 - 4 , VfB Lubeck
Sun 5 Oct , Bremer SV , 0 - 3 , Norderstedt
Sun 5 Oct , Drochtersen.A. , 4 - 0 , Werder Bremen B
Sun 5 Oct , HSC Hannover , 1 - 4 , Hannover 96 B
Sat 11 Oct , Hannover 96 B , 1 - 3 , Jeddeloh
Sat 11 Oct , Meppen , 4 - 0 , St. Pauli B
Sat 11 Oct , Schoningen , 3 - 2 , BW Lohne
Sat 11 Oct , Hamburger SV B , 6 - 2 , Weiche F.
Sat 11 Oct , Altona , 0 - 1 , Werder Bremen B
Sat 11 Oct , Jeddeloh , 1 - 1 , Drochtersen.A.
Sat 11 Oct , Oldenburg , 2 - 1 , Phonix Lubeck
Sun 12 Oct , Norderstedt , 0 - 3 , Kickers Emden
Sun 12 Oct , VfB Lubeck , 1 - 2 , Bremer SV
Wed 15 Oct , Kickers Emden , 0 - 1 , HSC Hannover
Fri 17 Oct , Drochtersen.A. , 7 - 2 , Hannover 96 B
Sat 18 Oct , Weiche F. , 2 - 3 , VfB Lubeck
Sat 18 Oct , Phonix Lubeck , 1 - 0 , Oldenburg
Sat 18 Oct , Werder Bremen B , 1 - 3 , Hamburger SV B
Sat 18 Oct , BW Lohne , 3 - 3 , Hannover 96 B
Sat 18 Oct , Kickers Emden , 1 - 3 , Norderstedt
Sun 19 Oct , St. Pauli B , 2 - 4 , Jeddeloh
Sun 19 Oct , Bremer SV , 0 - 1 , Altona
Sun 19 Oct , HSC Hannover , 1 - 3 , Meppen
Wed 22 Oct , Schoningen , 1 - 3 , Schoningen
Fri 24 Oct , Altona , 0 - 2 , Bremer SV
Fri 24 Oct , Meppen , 3 - 2 , Phonix Lubeck
Fri 24 Oct , VfB Lubeck , 2 - 2 , Drochtersen.A.
Sat 25 Oct , Hannover 96 B , 1 - 3 , Kickers Emden
Sat 25 Oct , Norderstedt , 0 - 3 , HSC Hannover
Sun 26 Oct , Oldenburg , 2 - 2 , Weiche F.
Tue 28 Oct , VfB Lubeck , 1 - 1 , BW LohneSat 25 OctJeddeloh 4 1 Werder Bremen B
Wed 29 Oct , Hannover 96 B , 0 - 2 , Bremer SV
Fri 31 Oct , Drochtersen.A. , 3 - 1 , St. Pauli B
Sat 1 Nov , Weiche F. , 2 - 2 , Phonix Lubeck
Sat 1 Nov , Bremer SV , 2 - 1 , Jeddeloh
Sat 1 Nov , Phonix Lubeck , 2 - 0 , VfB Lubeck
Sat 1 Nov , BW Lohne , 0 - 1 , Hannover 96 B
Sat 1 Nov , Kickers Emden , 5 - 1 , Schoningen
Sun 2 Nov , HSC Hannover , 3 - 2 , Hamburger SV B
Sun 2 Nov , St. Pauli B , 1 - 1 , Altona
Sun 2 Nov , Werder Bremen B , 1 - 1 , Norderstedt
Wed 5 Nov , Hamburger SV B , 2 - 2 , Meppen
Sat 8 Nov , Hannover 96 B , 0 - 1 , Oldenburg
Sat 8 Nov , Meppen , 2 - 2 , VfB Lubeck
Sat 8 Nov , Phonix Lubeck , 0 - 0 , Hamburger SV B
Sat 8 Nov , Werder Bremen B , 1 - 3 , Kickers Emden
Sat 8 Nov , Jeddeloh , 0 - 1 , Weiche F.
Sun 9 Nov , Bremer SV , 2 - 3 , Schoningen
Sun 9 Nov , Drochtersen.A. , 2 - 1 , Oldenburg
Sun 9 Nov , HSC Hannover , 1 - 3 , VfB Lubeck
Sun 9 Nov , Norderstedt , 1 - 0 , St. Pauli B
Wed 12 Nov , Werder Bremen B , 5 - 1 , BW Lohne
Fri 14 Nov , Kickers Emden , 2 - 2 , Altona
Sat 15 Nov , Weiche F. , 4 - 1 , Altona
Sat 15 Nov , VfB Lubeck , 1 - 5 , Drochtersen.A.
Sat 15 Nov , BW Lohne , 2 - 1 , Werder Bremen B
Sat 15 Nov , Oldenburg , 3 - 1 , Meppen
Sun 16 Nov , Hamburger SV B , 5 - 1 , Phonix Lubeck
